line_item,FY2023,FY2024,FY2025,TTM Jun-2026
Beginning Cash,9.0,12.0,10.0,11.0
Reported EBITDA,22.0,24.0,27.0,29.0
Less: Cash Taxes,-3.8,-4.2,-4.7,-5.0
Less: Cash Interest,-3.2,-3.0,-2.7,-2.6
Plus/(Less): Change in Net Working Capital,1.5,3.0,3.0,1.0
Other Operating (net),-0.5,0.0,0.0,0.0
Net Cash from Operations,16.0,19.8,22.6,22.4
Capital Expenditures (PP&E),-2.0,-2.5,-3.0,-3.0
Capitalized Software Development,-4.0,-4.5,-5.0,-4.5
Acquisitions / Investments,-1.0,-5.8,-1.0,-3.0
Net Cash from Investing,-7.0,-12.8,-9.0,-10.5
Term Debt Borrowings,0.0,0.0,0.0,4.0
Term Debt Repayments,-5.0,-8.0,-10.0,-6.0
Lease Principal Payments,-1.0,-1.0,-1.0,-1.0
Equity Distributions,0.0,0.0,-1.6,-6.9
Net Cash from Financing,-6.0,-9.0,-12.6,-9.9
Net Change in Cash,3.0,-2.0,1.0,2.0
Ending Cash,12.0,10.0,11.0,13.0
