adjustment_id,description,amount,period,category,support_status,peg_relevance,rationale
WC01,Remove deal-related advisory accruals included in accrued expenses (debt-like / settled pre-close),1.1,Jun-2026,Accrued expenses,partial,high,"Accruals for sell-side process, diligence, and financing fees inflate current liabilities; typically excluded from peg as non-operating / transaction-specific."
WC02,Remove one-time ERP vendor payable from accounts payable (debt-like implementation liability),0.7,Jun-2026,Accounts payable,pending,high,ERP implementation payable is non-operating and expected to be settled outside of working capital; excluding increases peg to a sustainable operating baseline.
WC03,Normalize accrued annual bonus to target run-rate (increase liability),-0.5,Jun-2026,Accrued compensation,partial,high,Bonus accrual at Jun-2026 appears below expected run-rate based on policy and YTD performance; adjustment reduces peg to reflect expected annual payout.
WC04,Aged/disputed AR reserve (reduce accounts receivable),-0.6,Jun-2026,Accounts receivable,pending,high,Portion of AR >120 days relates to disputed billings on legacy implementations; reserve reduces peg to collectible balances.
WC05,Remove contract assets related to unapproved change orders (reduce contract assets),-0.4,Jun-2026,Contract assets,pending,medium,Unapproved change orders are not yet billable/collectible and should not support peg; adjustment aligns contract assets to realizable amounts.
WC06,Exclude indirect tax payable included in other current liabilities (non-operating / excluded from NWC definition),0.5,Jun-2026,Other current liabilities,supported,medium,Sales/VAT payable is typically excluded from NWC in the SPA definition; removing increases peg comparability to market practice.
WC07,Accrue under-recorded SaaS platform/vendor fees (increase liability),-0.2,Jun-2026,Accrued expenses,partial,medium,Vendor fee accrual appears understated versus contract schedule; adjustment reduces peg to reflect contractual run-rate obligations.
WC08,Exclude non-operating vendor prepayment from prepaids/other current assets (reduce asset),-0.2,Jun-2026,Prepaids & other,pending,low,Prepayment relates to a multi-year marketing sponsorship and is not required for ongoing operations; typically excluded from peg as non-operating.
WC09,Deferred revenue cut-off true-up for services billed in advance but substantially delivered (reduce deferred revenue),0.3,Jun-2026,Deferred revenue,pending,medium,Portion of deferred revenue appears to relate to services already delivered but not released; reducing liability increases peg and aligns to delivery status.
WC10,Remove litigation reserve from accrued expenses (debt-like / settlement-specific),0.8,Jun-2026,Accrued expenses,pending,high,Litigation reserve relates to a discrete settlement matter and is not part of ongoing operating working capital; typically treated as debt-like.
