adjustment_id,description,amount,period,recurring_flag,support_status,rationale,impact_direction
QA01,ERP implementation & systems integration costs,1.2,TTM Jun-2026,N,supported,"One-time external consulting, integration, and parallel-run costs incurred during ERP rollout; not expected to recur post go-live.",increase
QA02,Restructuring and severance (customer success consolidation),0.8,TTM Jun-2026,N,partial,Severance and retention payments tied to consolidation of customer success teams; ongoing cost base expected to normalize to steady-state headcount.,increase
QA03,Non-recurring legal settlement and outside counsel,0.5,TTM Jun-2026,N,pending,Settlement and associated legal fees related to a single legacy customer dispute; management asserts no similar matters are recurring.,increase
QA04,"Transaction-related advisory fees (sell-side, financing diligence)",0.7,TTM Jun-2026,N,supported,Professional fees tied to the current sale process and financing diligence; not part of ongoing operating cost structure.,increase
QA05,Data security incident remediation and customer credits,0.4,TTM Jun-2026,N,partial,Costs and credits associated with a discrete security incident; remediation program completed and costs are not expected to continue at current level.,increase
QA06,Change-in-control retention bonuses (executive),0.3,TTM Jun-2026,N,supported,Retention/transaction bonuses triggered by the contemplated transaction; should be treated as deal-related and excluded from run-rate.,increase
QA07,Temporary contractor spend to clear implementation backlog,0.5,TTM Jun-2026,N,partial,Short-term contractor program used to address implementation backlog following FY25 onboarding surge; expected to unwind as utilization normalizes.,increase
QA08,Bad debt spike on one distressed customer; normalize to historical loss rate,0.3,TTM Jun-2026,N,supported,"Incremental provision associated with one distressed customer write-off; baseline bad debt remains in run-rate, but excess is treated as non-recurring.",increase
QA09,Related-party hosting / managed services markup above market,0.2,TTM Jun-2026,Y,pending,Current hosting services are provided under a related-party arrangement with a markup; adjustment reflects expected cost at market rates post-transition.,increase
QA10,Insurance proceeds recorded in other income,-0.3,TTM Jun-2026,N,supported,Non-recurring insurance recovery recognized in earnings; removed to avoid overstatement of sustainable profitability.,decrease
QA11,Revenue cut-off on milestone-based services recognized early,-0.6,TTM Jun-2026,N,pending,Timing-related revenue recognition on select milestone implementations appears accelerated; adjustment defers revenue and associated margin to delivery periods.,decrease
QA12,Excess capitalization of software development costs above policy baseline,-0.4,TTM Jun-2026,Y,pending,Higher-than-historical capitalization rate reduces reported operating expense; adjustment reflects a normalized capitalization ratio consistent with policy and prior periods.,decrease
QA13,Under-accrual of annual SaaS platform fees,-0.2,TTM Jun-2026,Y,partial,Annual platform/vendor fees appear under-accrued versus contract schedule; adjustment increases run-rate expense to contractual levels.,decrease
