line_item,FY2023,FY2024,FY2025,TTM Jun-2026
Revenue,125.0,142.0,160.0,168.0
COGS,45.0,51.0,57.0,60.0
Gross Profit,80.0,91.0,103.0,108.0
Sales & Marketing,28.0,33.0,38.0,39.0
Research & Development,17.0,19.0,21.0,22.0
General & Administrative,13.0,15.0,17.0,18.0
Total Operating Expenses (ex D&A),58.0,67.0,76.0,79.0
Reported EBITDA,22.0,24.0,27.0,29.0
Depreciation & Amortization,6.0,7.0,8.0,9.0
Operating Income (EBIT),16.0,17.0,19.0,20.0
Net Interest Expense,3.2,3.0,2.7,2.6
Pre-Tax Income,12.8,14.0,16.3,17.4
Income Taxes,3.8,4.2,4.7,5.0
Net Income,9.0,9.8,11.6,12.4
